"sp" "spn" "depth" "taxa" "ntip"
"species" 151 0.00179342355578274 "Zotu142_P2_A01_16IZPOC1_S502_N707;size=2" 3
"species" 113 0.00179342355578274 "Zotu93_P1_A03_38TCONS8_S503_N702;size=6" 3
"species" 113 0.00179342355578274 "Zotu186_P1_H09_37TCONS7_S508_N705;size=1" 3
"species" 113 0.00179342355578274 "Zotu177_P2_G02_14SHCN5C2_S517_N707;size=1" 3
"species" 192 0.00480070151231268 "Zotu186_P3_A05_107ACON20_S507_N712;size=3" 2
"species" 192 0.00480070151231268 "Zotu114_P3_G08_127ACON17_S506_N702;size=1" 2
"species" 197 0.0109704662570716 "Zotu120_P3_G06_108ACON21_S506_N701;size=1" 2
"species" 196 0.00814136551467501 "Zotu390_P3_G06_108ACON21_S506_N701;size=1" 5
"species" 196 0.00814136551467501 "Zotu166_P3_G06_108ACON21_S506_N701;size=1" 5
"species" 196 0.00814136551467501 "Zotu208_P3_C05_110ACON23_S508_N712;size=1" 5
"species" 196 0.00814136551467501 "Zotu131_P3_A06_128ACON18_S503_N701;size=1" 5
"species" 196 0.00814136551467501 "Zotu203_P3_C04_79ACON1_S504_N712;size=1" 5
"species" 197 0.0109704662570716 "Zotu153_P3_A06_128ACON18_S503_N701;size=1" 2
"species" 14 0.00119270069966945 "Zotu166_P3_A02_39TCONSER9_S503_N711;size=1" 2
"species" 14 0.00119270069966945 "Zotu204_P3_E06_80ACON2_S505_N701;size=1" 2
"species" 166 0.0116707520450822 "Zotu62_P1_B06_71SHCON2_S508_N703;size=2" 6
"species" 166 0.0116707520450822 "Zotu137_P2_E02_77SHCON8_S508_N707;size=1" 6
"species" 166 0.0116707520450822 "Zotu26_P2_E02_77SHCON8_S508_N707;size=1" 6
"species" 166 0.0116707520450822 "Zotu181_P1_H09_37TCONS7_S508_N705;size=1" 6
"species" 166 0.0116707520450822 "Zotu83_P2_E02_77SHCON8_S508_N707;size=1" 6
"species" 166 0.0116707520450822 "Zotu139_P2_E02_77SHCON8_S508_N707;size=1" 6
"species" 165 0.0109704662570716 "Zotu157_P2_E02_77SHCON8_S508_N707;size=2" 2
"species" 165 0.0109704662570716 "Zotu187_P2_E02_77SHCON8_S508_N707;size=1" 2
"species" 5 0.00119355138485481 "Zotu86_P1_E02_21MMC3_S517_N701;size=3" 2
"species" 5 0.00119355138485481 "Zotu202_P1_E02_21MMC3_S517_N701;size=1" 2
